Year;Economic_Sector;Male_Employees;Female_Employees;Total_Employees;Share_of_Female_Employees;Share_of_German_total_Employees
2009;WZ08-C;5737;2114;7851;26.92650618;19.19419114
2010;WZ08-C;5658;2094;7752;27.0123839;18.88520756
2011;WZ08-C;5602;2095;7698;27.214861;18.52975159
2012;WZ08-C;5618;2099;7717;27.199689;18.36550132
2013;WZ08-C;5553;2099;7652;27.43073706;18.06847698
2014;WZ08-C;5674;2138;7812;27.36815156;18.28608881
2015;WZ08-C;5653;2108;7761;27.16144827;17.99777376
2016;WZ08-C;5761;2143;7905;27.10942441;18.10540299
2017;WZ08-C;5778;2149;7927;27.10987763;17.91371946
2018;WZ08-C;5800;2191;7991;27.41834564;17.81399082
2019;WZ08-C;5831;2179;8010;27.20349563;17.69461872
2009;WZ08-D;253;83;335;24.7761194;0.819010831
2010;WZ08-D;265;85;350;24.28571429;0.8526603
2011;WZ08-D;275;87;362;24.03314917;0.871365299
2012;WZ08-D;285;91;377;24.13793103;0.897213165
2013;WZ08-D;262;92;354;25.98870056;0.835891381
2014;WZ08-D;245;90;335;26.86567164;0.784157674
2015;WZ08-D;250;91;341;26.68621701;0.790779648
2016;WZ08-D;243;80;323;24.76780186;0.73979066
2017;WZ08-D;238;85;323;26.31578947;0.729927007
2018;WZ08-D;235;85;321;26.47975078;0.715591422
2019;WZ08-D;235;92;327;28.13455657;0.722364584
2009;WZ08-E;180;45;225;20;0.550081901
2010;WZ08-E;168;43;211;20.37914692;0.514032352
2011;WZ08-E;178;44;222;19.81981982;0.534373195
2012;WZ08-E;177;43;220;19.54545455;0.52357267
2013;WZ08-E;171;39;210;18.57142857;0.495867769
2014;WZ08-E;184;37;221;16.74208145;0.517309988
2015;WZ08-E;189;38;227;16.74008811;0.526413432
2016;WZ08-E;183;46;229;20.08733624;0.524495545
2017;WZ08-E;200;47;246;19.10569106;0.55591964
2018;WZ08-E;202;48;250;19.2;0.557314191
2019;WZ08-E;207;50;257;19.45525292;0.567729964
2009;WZ08-F;2243;324;2567;12.62173744;6.275823289
2010;WZ08-F;2253;334;2587;12.91070738;6.302377704
2011;WZ08-F;2248;329;2578;12.76183088;6.2054689
2012;WZ08-F;2292;332;2624;12.65243902;6.244794022
2013;WZ08-F;2339;346;2686;12.88160834;6.342384888
2014;WZ08-F;2369;363;2732;13.28696925;6.394981391
2015;WZ08-F;2364;359;2723;13.18398825;6.314642178
2016;WZ08-F;2390;369;2758;13.37926033;6.316850278
2017;WZ08-F;2447;388;2836;13.68124118;6.408894714
2018;WZ08-F;2432;389;2821;13.78943637;6.288733336
2019;WZ08-F;2437;421;2857;14.73573679;6.311301582
2009;WZ08-G;2437;2762;5199;53.12560108;12.71055913
2010;WZ08-G;2473;2794;5267;53.04727549;12.83131943
2011;WZ08-G;2440;2793;5233;53.37282629;12.59628346
2012;WZ08-G;2472;2743;5215;52.59827421;12.41105214
2013;WZ08-G;2809;2874;5683;50.57188105;13.41912633
2014;WZ08-G;2738;2876;5614;51.22907018;13.14107816
2015;WZ08-G;2765;2906;5671;51.24316699;13.15105978
2016;WZ08-G;2865;2957;5823;50.78138417;13.33684524
2017;WZ08-G;2894;2927;5821;50.28345645;13.15450498
2018;WZ08-G;2938;2898;5836;49.65729952;13.00994249
2019;WZ08-G;2929;2849;5778;49.30771893;12.76398339
2009;WZ08-H;1369;451;1821;24.76661175;4.451996186
2010;WZ08-H;1365;455;1820;25;4.433833561
2011;WZ08-H;1377;458;1835;24.95912807;4.417003659
2012;WZ08-H;1408;461;1870;24.65240642;4.450367691
2013;WZ08-H;1431;483;1914;25.23510972;4.519480519
2014;WZ08-H;1439;485;1924;25.20790021;4.503639896
2015;WZ08-H;1471;487;1958;24.87231869;4.540605723
2016;WZ08-H;1513;504;2017;24.98760535;4.61968347
2017;WZ08-H;1560;522;2082;25.07204611;4.704978419
2018;WZ08-H;1589;527;2116;24.90548204;4.717107316
2019;WZ08-H;1614;527;2141;24.61466604;4.729610321
2009;WZ08-I;620;871;1491;58.41716968;3.645209398
2010;WZ08-I;630;861;1491;57.74647887;3.632332879
2011;WZ08-I;607;867;1474;58.81953867;3.548045446
2012;WZ08-I;630;875;1505;58.13953488;3.581713035
2013;WZ08-I;633;878;1511;58.10721377;3.567886659
2014;WZ08-I;656;874;1529;57.16154349;3.579036071
2015;WZ08-I;665;884;1549;57.06907682;3.592133946
2016;WZ08-I;694;885;1579;56.04813173;3.616499851
2017;WZ08-I;691;883;1574;56.09911055;3.556981763
2018;WZ08-I;702;872;1573;55.43547362;3.506620893
2019;WZ08-I;720;865;1585;54.57413249;3.501369621
2009;WZ08-J;796;428;1225;34.93877551;2.99489035
2010;WZ08-J;810;424;1234;34.35980551;3.006236601
2011;WZ08-J;818;420;1238;33.92568659;2.979973041
2012;WZ08-J;855;424;1279;33.15089914;3.04386111
2013;WZ08-J;762;390;1153;33.82480486;2.722550177
2014;WZ08-J;767;397;1164;34.10652921;2.724655322
