Year;Econimic_Sector;Full-time_Employees;Part-time_Employees;Share_of_Part-time_Employees;
2008;WZ08-A;189991;16539.5;8.008260281;
2009;WZ08-A;191045.25;17940.75;8.584665958;
2010;WZ08-A;191177.25;19111.25;9.088109906;
2011;WZ08-A;184963.25;32265;14.85304052;
2012;WZ08-A;186723.75;35941;16.14130661;
2013;WZ08-A;190877.5;35805.25;15.79531305;
2014;WZ08-A;195611.25;38547.75;16.46221157;
2015;WZ08-A;195771.5;41958.75;17.64973116;
2016;WZ08-A;192833;44060.25;18.59920027;
2017;WZ08-A;192795;46366.5;19.38710871;
2018;WZ08-A;192589;48540;20.1303037;
2019;WZ08-A;193212.25;50631.5;20.76391132;
2020;WZ08-A;192584.25;52770.5;21.50783712;
2008;WZ08-B;92669.5;2117.5;2.233956133;
2009;WZ08-B;89768.75;2106;2.292251135;
2010;WZ08-B;86858;2139;2.403451802;
2011;WZ08-B;83488.25;3718.75;4.264279244;
2012;WZ08-B;81132.25;4003.25;4.702210006;
2013;WZ08-B;77489.5;3809;4.685203294;
2014;WZ08-B;74466.25;3676.5;4.704851058;
2015;WZ08-B;71014;3585.5;4.806332482;
2016;WZ08-B;66759.75;3592;5.105772067;
2017;WZ08-B;64299.5;3757.75;5.521454364;
2018;WZ08-B;63525.25;3864.25;5.734201916;
2019;WZ08-B;61516.75;3801.75;5.820326554;
2020;WZ08-B;59685.5;4012.75;6.299623616;
2008;WZ08-C;6111914.75;444140.5;6.774508192;
2009;WZ08-C;5923046.5;451097;7.076982186;
2010;WZ08-C;5826520.5;466094;7.407000699;
2011;WZ08-C;5866404.75;564760.75;8.781623642;
2012;WZ08-C;5961305.75;585977.75;8.949937023;
2013;WZ08-C;6002035.5;577200.25;8.773059242;
2014;WZ08-C;6057105.25;588847.75;8.860245476;
2015;WZ08-C;6095532;614223;9.154179251;
2016;WZ08-C;6127372.75;633717.5;9.373007556;
2017;WZ08-C;6175227;656216.5;9.605824889;
2018;WZ08-C;6296495.5;680550.5;9.754135203;
2019;WZ08-C;6322839.25;703716;10.01509239;
2020;WZ08-C;6164182.5;702422;10.22953921;
2008;WZ08-D;208712.25;24986.25;10.69166041;
2009;WZ08-D;211132;26806.5;11.2661465;
2010;WZ08-D;212018.5;28800.75;11.95948829;
2011;WZ08-D;213000;23172.25;9.811588787;
2012;WZ08-D;214841;23229.25;9.75730903;
2013;WZ08-D;213432;23155.75;9.787383328;
2014;WZ08-D;209167.5;23162.25;9.969558354;
2015;WZ08-D;204501.25;23442.75;10.2844339;
2016;WZ08-D;203644.75;24387.5;10.69475918;
2017;WZ08-D;203275;25986;11.33467969;
2018;WZ08-D;204103.75;27578.5;11.90358778;
2019;WZ08-D;206831;29642.25;12.53513875;
2020;WZ08-D;221988.5;32690.5;12.83596213;
2008;WZ08-E;200462.5;17887.75;8.192227854;
2009;WZ08-E;200544.25;19296.5;8.77749007;
2010;WZ08-E;200969;20946.75;9.439055137;
2011;WZ08-E;203753;21853.5;9.686556017;
2012;WZ08-E;205840.25;22405.25;9.816294297;
2013;WZ08-E;208492.5;22180;9.615363773;
2014;WZ08-E;211089.5;22242.25;9.532457542;
2015;WZ08-E;212945.25;22401.75;9.518604444;
2016;WZ08-E;215872;23067;9.653928409;
2017;WZ08-E;219945.75;23847.5;9.781854092;
2018;WZ08-E;226527.25;24489.25;9.756031974;
2019;WZ08-E;232773.75;25174.75;9.759603177;
2020;WZ08-E;235722.25;25929;9.90975583;
2008;WZ08-F;1485828.25;75111;4.811910521;
2009;WZ08-F;1484320.75;79630.25;5.091607729;
2010;WZ08-F;1504270.5;85552.5;5.381259423;
2011;WZ08-F;1489351.25;141967.75;8.70263572;
2012;WZ08-F;1492423.75;161084.75;9.741997093;
2013;WZ08-F;1494360.75;166395.25;10.01924726;
2014;WZ08-F;1508498;178303.25;10.57049549;
2015;WZ08-F;1516560.75;190660;11.16785864;
2016;WZ08-F;1545334;202031.25;11.56205035;
2017;WZ08-F;1584656.75;214412.75;11.91798038;
2018;WZ08-F;1624585.25;225258.25;12.17715174;
2019;WZ08-F;1666001;235987.25;12.40739789;
2020;WZ08-F;1695998.5;243261.25;12.54402614;
2008;WZ08-G ;3097415;931736;23.12487172;
2009;WZ08-G ;3058104.75;954584.25;23.78914115;
2010;WZ08-G ;3033333.75;985963.25;24.53073883;
2011;WZ08-G ;2940344.5;1169976.5;28.46435838;
2012;WZ08-G ;2954762.25;1226573.75;29.33449381;
2013;WZ08-G ;2935255.75;1250785.75;29.87991758;
2014;WZ08-G ;2924188.5;1295512.25;30.70151953;
2015;WZ08-G ;2920737.5;1373339.25;31.98217754;
2016;WZ08-G ;2943368;1417788.75;32.50946552;
2017;WZ08-G ;2973318.25;1453433;32.83294945;
2018;WZ08-G ;3005172;1487415.5;33.10821436;
2019;WZ08-G ;3023078.25;1515515.75;33.39174533;
2020;WZ08-G ;3020867.25;1528733.25;33.60148325;
2008;WZ08-H;1209419.75;208740.5;14.71910526;
2009;WZ08-H;1183758.5;212614.75;15.2262119;
2010;WZ08-H;1188205.5;223926;15.85730507;
2011;WZ08-H;1201567;259489.5;17.76040146;
2012;WZ08-H;1217754;273727.75;18.35273881;
2013;WZ08-H;1236984.25;282903;18.61342017;
2014;WZ08-H;1261512.5;299856.75;19.20473008;
2015;WZ08-H;1289668;329680.25;20.35882337;
2016;WZ08-H;1323457.75;347231.25;20.78371558;
2017;WZ08-H;1367968;364101.25;21.02117164;
2018;WZ08-H;1433076;373920.75;20.69293982;
2019;WZ08-H;1462651;389590.25;21.03345069;
2020;WZ08-H;1469581;398255.25;21.32174327;
2008;WZ08-I;610469.75;177686.75;22.5446025;
2009;WZ08-I;611153.25;193823.5;24.07814884;
2010;WZ08-I;610175.25;209013.75;25.51471638;
2011;WZ08-I;551976;289633.75;34.41425791;
2012;WZ08-I;540839.25;335712.25;38.29920433;
2013;WZ08-I;543712.5;353251.5;39.38301872;
2014;WZ08-I;543494.25;380973.5;41.2100368;
2015;WZ08-I;550592.75;431914.5;43.96043897;
2016;WZ08-I;559387;458458;45.04202506;
2017;WZ08-I;567709.25;481038.25;45.8678805;
2018;WZ08-I;575422.25;496363.75;46.31183371;
2019;WZ08-I;585029.75;511082;46.62681519;
2020;WZ08-I;554940.75;473182.25;46.023895;
2008;WZ08-J ;722286;106568;12.8572704;
