Economic_Sector;Year;Share_of_Collective_Agreement
WZ08-D;2020;61
WZ08-E;2020;61
WZ08-C;2020;44
WZ08-F;2020;55
WZ08-G;2020;25
WZ08-H;2020;34
WZ08-J;2020;11
WZ08-K;2020;66
WZ08-I;2020;35
WZ08-N;2020;35
WZ08-S;2020;35
WZ08-R;2020;35
WZ08-L;2020;35
WZ08-P;2020;48
WZ08-Q;2020;48
WZ08-M;2020;40
WZ08-O;2020;80
WZ08-D;2019;56
WZ08-E;2019;56
WZ08-C;2019;45
WZ08-F;2019;62
WZ08-G;2019;23
WZ08-H;2019;29
WZ08-J;2019;15
WZ08-K;2019;74
WZ08-I;2019;37
WZ08-N;2019;37
WZ08-S;2019;37
WZ08-R;2019;37
WZ08-L;2019;37
WZ08-P;2019;46
WZ08-Q;2019;46
WZ08-M;2019;41
WZ08-O;2019;86
WZ08-D;2018;63
WZ08-E;2018;63
WZ08-C;2018;45
WZ08-F;2018;60
WZ08-G;2018;30
WZ08-H;2018;35
WZ08-J;2018;11
WZ08-K;2018;78
WZ08-I;2018;37
WZ08-N;2018;37
WZ08-S;2018;37
WZ08-R;2018;37
WZ08-L;2018;37
WZ08-P;2018;47
WZ08-Q;2018;47
WZ08-M;2018;45
WZ08-O;2018;88
WZ08-D;2017;65
WZ08-E;2017;65
WZ08-C;2017;47
WZ08-F;2017;58
WZ08-G;2017;34
WZ08-H;2017;37
WZ08-J;2017;14
WZ08-K;2017;76
WZ08-I;2017;35
WZ08-N;2017;35
WZ08-S;2017;35
WZ08-R;2017;35
WZ08-L;2017;35
WZ08-P;2017;47
WZ08-Q;2017;47
WZ08-M;2017;43
WZ08-O;2017;88
WZ08-D;2016;70
WZ08-E;2016;70
WZ08-C;2016;51
WZ08-F;2016;62
WZ08-G;2016;34
WZ08-H;2016;34
WZ08-J;2016;17
WZ08-K;2016;77
WZ08-I;2016;36
WZ08-N;2016;36
WZ08-S;2016;36
WZ08-R;2016;36
WZ08-L;2016;36
WZ08-P;2016;49
WZ08-Q;2016;49
WZ08-M;2016;46
WZ08-O;2016;87
WZ08-D;2015;72
WZ08-E;2015;72
WZ08-C;2015;51
WZ08-F;2015;62
WZ08-G;2015;36
WZ08-H;2015;33
WZ08-J;2015;15
WZ08-K;2015;77
WZ08-I;2015;36
WZ08-N;2015;36
WZ08-S;2015;36
WZ08-R;2015;36
WZ08-L;2015;36
WZ08-P;2015;49
WZ08-Q;2015;49
WZ08-M;2015;44
WZ08-O;2015;88
WZ08-D;2014;63
WZ08-E;2014;63
WZ08-C;2014;52
WZ08-F;2014;63
WZ08-G;2014;35
WZ08-H;2014;34
WZ08-J;2014;17
WZ08-K;2014;71
WZ08-I;2014;40
WZ08-N;2014;40
WZ08-S;2014;40
WZ08-R;2014;40
WZ08-L;2014;40
WZ08-P;2014;52
WZ08-Q;2014;52
WZ08-M;2014;47
WZ08-O;2014;90
WZ08-D;2013;68
WZ08-E;2013;68
WZ08-C;2013;51
WZ08-F;2013;65
WZ08-G;2013;39
WZ08-H;2013;38
WZ08-J;2013;14
WZ08-K;2013;79
WZ08-I;2013;38
WZ08-N;2013;38
WZ08-S;2013;38
WZ08-R;2013;38
WZ08-L;2013;38
WZ08-P;2013;49
WZ08-Q;2013;49
WZ08-M;2013;44
WZ08-O;2013;88
WZ08-D;2012;65
WZ08-E;2012;65
WZ08-C;2012;50
WZ08-F;2012;66
WZ08-G;2012;40
WZ08-H;2012;38
WZ08-J;2012;18
WZ08-K;2012;77
WZ08-I;2012;39
WZ08-N;2012;39
WZ08-S;2012;39
WZ08-R;2012;39
WZ08-L;2012;39
WZ08-P;2012;50
WZ08-Q;2012;50
WZ08-M;2012;46
WZ08-O;2012;87
WZ08-D;2011;66
WZ08-E;2011;66
WZ08-C;2011;50
WZ08-F;2011;63
WZ08-G;2011;40
WZ08-H;2011;40
WZ08-J;2011;16
WZ08-K;2011;77
WZ08-I;2011;41
WZ08-N;2011;41
WZ08-S;2011;41
WZ08-R;2011;41
WZ08-L;2011;41
WZ08-P;2011;52
WZ08-Q;2011;52
WZ08-M;2011;46
WZ08-O;2011;86
WZ08-D;2010;70
WZ08-E;2010;70
WZ08-C;2010;52
WZ08-F;2010;67
WZ08-G;2010;47
WZ08-H;2010;37
WZ08-J;2010;25
WZ08-K;2010;79
WZ08-I;2010;43
WZ08-N;2010;43
WZ08-S;2010;43
WZ08-R;2010;43
WZ08-L;2010;43
WZ08-P;2010;52
WZ08-Q;2010;52
WZ08-M;2010;46
WZ08-O;2010;86
WZ08-D;2009;67
WZ08-E;2009;67
WZ08-C;2009;53
WZ08-F;2009;69
WZ08-G;2009;44
WZ08-H;2009;37
WZ08-J;2009;21
WZ08-K;2009;82
WZ08-I;2009;43
WZ08-N;2009;43
WZ08-S;2009;43
WZ08-R;2009;43
WZ08-L;2009;43
WZ08-P;2009;51
WZ08-Q;2009;51
WZ08-M;2009;44
WZ08-O;2009;87
