Year;Economic_Sector;Gross_Monthly_Wages;Gross_Hourly_Wages;;;;;
2007;WZ08-C;82.28;82.18;;;;;
2008;WZ08-C;84.58;84.48;;;;;
2009;WZ08-C;82.20;85.93;;;;;
2010;WZ08-C;86.25;87.70;;;;;
2011;WZ08-C;89.70;89.90;;;;;
2012;WZ08-C;92.45;92.63;;;;;
2013;WZ08-C;94.53;94.65;;;;;
2014;WZ08-C;97.33;97.45;;;;;
2015;WZ08-C;100.00;100.03;;;;;
2016;WZ08-C;101.98;102.03;;;;;
2017;WZ08-C;104.48;104.48;;;;;
2018;WZ08-C;107.58;107.60;;;;;
2019;WZ08-C;109.20;109.43;;;;;
2007;WZ08-D;84.00;85.10;;;;;
2008;WZ08-D;86.53;87.30;;;;;
2009;WZ08-D;87.80;88.15;;;;;
2010;WZ08-D;89.38;89.30;;;;;
2011;WZ08-D;91.78;91.63;;;;;
2012;WZ08-D;94.55;94.55;;;;;
2013;WZ08-D;95.30;95.28;;;;;
2014;WZ08-D;96.65;96.33;;;;;
2015;WZ08-D;100.00;100.03;;;;;
2016;WZ08-D;101.75;101.83;;;;;
2017;WZ08-D;102.28;102.40;;;;;
2018;WZ08-D;104.13;104.20;;;;;
2019;WZ08-D;106.70;106.80;;;;;
2007;WZ08-E ;83.83;84.25;;;;;
2008;WZ08-E ;86.28;86.48;;;;;
2009;WZ08-E ;88.15;88.58;;;;;
2010;WZ08-E ;89.65;89.88;;;;;
2011;WZ08-E ;91.63;91.75;;;;;
2012;WZ08-E ;93.73;93.33;;;;;
2013;WZ08-E ;95.63;95.48;;;;;
2014;WZ08-E ;97.45;97.43;;;;;
2015;WZ08-E ;100.03;99.98;;;;;
2016;WZ08-E ;101.95;102.23;;;;;
2017;WZ08-E ;104.55;104.93;;;;;
2018;WZ08-E ;107.35;107.55;;;;;
2019;WZ08-E ;110.30;110.80;;;;;
2007;WZ08-F;84.83;84.93;;;;;
2008;WZ08-F;87.15;87.35;;;;;
2009;WZ08-F;87.75;89.25;;;;;
2010;WZ08-F;88.48;90.40;;;;;
2011;WZ08-F;91.85;91.98;;;;;
2012;WZ08-F;94.73;95.13;;;;;
2013;WZ08-F;95.28;96.55;;;;;
2014;WZ08-F;97.58;97.70;;;;;
2015;WZ08-F;99.98;100.00;;;;;
2016;WZ08-F;102.70;102.65;;;;;
2017;WZ08-F;105.35;105.45;;;;;
2018;WZ08-F;108.98;109.18;;;;;
2019;WZ08-F;112.48;112.43;;;;;
2007;WZ08-G;86.80;87.60;;;;;
2008;WZ08-G;88.78;89.45;;;;;
2009;WZ08-G;89.90;91.05;;;;;
2010;WZ08-G;91.65;92.35;;;;;
2011;WZ08-G;93.80;94.28;;;;;
2012;WZ08-G;96.65;97.35;;;;;
2013;WZ08-G;96.60;96.95;;;;;
2014;WZ08-G;97.93;98.03;;;;;
2015;WZ08-G;100.03;100.03;;;;;
2016;WZ08-G;102.65;102.55;;;;;
2017;WZ08-G;104.88;104.83;;;;;
2018;WZ08-G;107.60;107.55;;;;;
2019;WZ08-G;111.00;111.15;;;;;
2007;WZ08-H;88.20;88.33;;;;;
2008;WZ08-H;90.73;90.75;;;;;
2009;WZ08-H;91.58;92.33;;;;;
2010;WZ08-H;92.25;92.60;;;;;
2011;WZ08-H;93.70;93.78;;;;;
2012;WZ08-H;95.80;96.00;;;;;
2013;WZ08-H;96.80;96.88;;;;;
2014;WZ08-H;98.25;98.08;;;;;
2015;WZ08-H;99.98;100.00;;;;;
2016;WZ08-H;101.80;101.80;;;;;
2017;WZ08-H;103.98;104.05;;;;;
2018;WZ08-H;106.48;106.48;;;;;
2019;WZ08-H;109.05;109.23;;;;;
2007;WZ08-I;85.48;85.78;;;;;
2008;WZ08-I;86.98;87.30;;;;;
2009;WZ08-I;87.43;87.88;;;;;
2010;WZ08-I;88.75;89.00;;;;;
2011;WZ08-I;90.75;90.88;;;;;
2012;WZ08-I;92.43;92.43;;;;;
2013;WZ08-I;92.90;92.75;;;;;
2014;WZ08-I;96.73;96.55;;;;;
2015;WZ08-I;100.00;99.98;;;;;
2016;WZ08-I;102.70;102.60;;;;;
2017;WZ08-I;105.70;105.55;;;;;
2018;WZ08-I;108.98;108.73;;;;;
2019;WZ08-I;112.90;112.45;;;;;
2007;WZ08-J;85.98;86.68;;;;;
2008;WZ08-J;87.80;88.30;;;;;
2009;WZ08-J;89.38;90.15;;;;;
2010;WZ08-J;91.30;91.88;;;;;
2011;WZ08-J;93.68;93.88;;;;;
2012;WZ08-J;94.10;94.30;;;;;
2013;WZ08-J;94.65;94.75;;;;;
2014;WZ08-J;97.98;97.93;;;;;
2015;WZ08-J;99.98;100.00;;;;;
2016;WZ08-J;102.38;102.35;;;;;
2017;WZ08-J;104.60;104.50;;;;;
2018;WZ08-J;107.45;107.28;;;;;
2019;WZ08-J;110.78;110.65;;;;;
2007;WZ08-K;79.90;80.18;;;;;
2008;WZ08-K;83.55;83.78;;;;;
2009;WZ08-K;85.35;85.45;;;;;
2010;WZ08-K;88.50;88.63;;;;;
2011;WZ08-K;90.50;90.63;;;;;
2012;WZ08-K;92.60;92.70;;;;;
2013;WZ08-K;95.18;95.20;;;;;
2014;WZ08-K;98.40;98.50;;;;;
2015;WZ08-K;100.00;100.00;;;;;
2016;WZ08-K;102.13;102.13;;;;;
2017;WZ08-K;104.03;104.10;;;;;
2018;WZ08-K;105.98;106.18;;;;;
2019;WZ08-K;107.85;108.00;;;;;
2007;WZ08-L;83.53;84.03;;;;;
2008;WZ08-L;86.10;86.70;;;;;
2009;WZ08-L;87.85;88.83;;;;;
2010;WZ08-L;89.55;90.30;;;;;
2011;WZ08-L;91.50;92.23;;;;;
2012;WZ08-L;93.18;93.58;;;;;
2013;WZ08-L;96.93;97.23;;;;;
2014;WZ08-L;98.20;98.10;;;;;
2015;WZ08-L;100.00;100.00;;;;;
2016;WZ08-L;102.70;102.75;;;;;
2017;WZ08-L;106.60;106.48;;;;;
2018;WZ08-L;110.45;110.45;;;;;
2019;WZ08-L;112.85;112.75;;;;;
2007;WZ08-M;86.08;86.43;;;;;
2008;WZ08-M;89.23;89.38;;;;;
2009;WZ08-M;90.85;91.53;;;;;
2010;WZ08-M;92.28;92.80;;;;;
2011;WZ08-M;94.45;94.68;;;;;
2012;WZ08-M;94.60;94.88;;;;;
2013;WZ08-M;95.08;95.43;;;;;
2014;WZ08-M;97.10;97.23;;;;;
2015;WZ08-M;100.00;100.03;;;;;
2016;WZ08-M;102.10;102.00;;;;;
2017;WZ08-M;104.63;104.50;;;;;
2018;WZ08-M;107.98;107.95;;;;;
2019;WZ08-M;111.05;111.05;;;;;
2007;WZ08-N;81.10;81.20;;;;;
2008;WZ08-N;83.83;83.78;;;;;
2009;WZ08-N;84.15;85.43;;;;;
2010;WZ08-N;86.75;87.08;;;;;
2011;WZ08-N;89.93;89.78;;;;;
2012;WZ08-N;91.28;91.28;;;;;
2013;WZ08-N;94.48;94.30;;;;;
2014;WZ08-N;97.25;97.00;;;;;
2015;WZ08-N;100.03;100.03;;;;;
2016;WZ08-N;102.48;102.28;;;;;
2017;WZ08-N;105.65;105.63;;;;;
2018;WZ08-N;109.55;109.83;;;;;
2019;WZ08-N;113.63;113.78;;;;;
2007;WZ08-O;81.08;81.08;;;;;
2008;WZ08-O;83.20;83.13;;;;;
2009;WZ08-O;86.93;86.73;;;;;
2010;WZ08-O;88.58;88.33;;;;;
2011;WZ08-O;89.65;89.65;;;;;
2012;WZ08-O;92.15;92.13;;;;;
2013;WZ08-O;94.75;94.73;;;;;
2014;WZ08-O;97.80;97.78;;;;;
2015;WZ08-O;100.00;100.00;;;;;
2016;WZ08-O;102.48;102.38;;;;;
2017;WZ08-O;105.33;105.23;;;;;
2018;WZ08-O;107.78;108.03;;;;;
2019;WZ08-O;111.68;111.63;;;;;
2007;WZ08-P;83.88;84.25;;;;;
2008;WZ08-P;86.08;86.43;;;;;
2009;WZ08-P;88.80;89.18;;;;;
2010;WZ08-P;90.73;91.03;;;;;
2011;WZ08-P;90.80;91.35;;;;;
2012;WZ08-P;93.53;93.98;;;;;
2013;WZ08-P;95.70;95.83;;;;;
2014;WZ08-P;98.03;98.00;;;;;
2015;WZ08-P;100.00;99.98;;;;;
2016;WZ08-P;102.35;102.35;;;;;
2017;WZ08-P;104.95;105.00;;;;;
2018;WZ08-P;107.60;107.70;;;;;
2019;WZ08-P;110.98;111.08;;;;;
2007;WZ08-Q;82.20;83.63;;;;;
2008;WZ08-Q;83.88;85.10;;;;;
2009;WZ08-Q;86.55;87.68;;;;;
2010;WZ08-Q;87.85;88.45;;;;;
2011;WZ08-Q;90.13;90.38;;;;;
2012;WZ08-Q;93.45;93.45;;;;;
2013;WZ08-Q;95.30;95.23;;;;;
2014;WZ08-Q;97.15;97.10;;;;;
2015;WZ08-Q;99.98;100.00;;;;;
2016;WZ08-Q;102.60;102.55;;;;;
2017;WZ08-Q;105.65;105.68;;;;;
2018;WZ08-Q;108.10;108.28;;;;;
2019;WZ08-Q;111.70;112.05;;;;;
2007;WZ08-R;90.43;91.98;;;;;
2008;WZ08-R;94.60;95.68;;;;;
2009;WZ08-R;95.05;95.95;;;;;
2010;WZ08-R;96.75;97.73;;;;;
2011;WZ08-R;98.10;98.95;;;;;
2012;WZ08-R;93.58;93.68;;;;;
2013;WZ08-R;93.98;94.08;;;;;
2014;WZ08-R;95.85;95.75;;;;;
2015;WZ08-R;100.03;100.00;;;;;
2016;WZ08-R;102.55;102.08;;;;;
2017;WZ08-R;105.90;105.55;;;;;
2018;WZ08-R;110.45;109.83;;;;;
2019;WZ08-R;116.95;116.23;;;;;
2007;WZ08-S;83.55;84.10;;;;;
2008;WZ08-S;85.28;85.85;;;;;
2009;WZ08-S;87.75;88.30;;;;;
2010;WZ08-S;89.28;89.63;;;;;
2011;WZ08-S;91.43;91.63;;;;;
2012;WZ08-S;94.05;94.10;;;;;
2013;WZ08-S;94.45;94.25;;;;;
2014;WZ08-S;97.70;97.50;;;;;
2015;WZ08-S;100.00;100.00;;;;;
2016;WZ08-S;102.13;102.13;;;;;
2017;WZ08-S;104.83;104.60;;;;;
2018;WZ08-S;106.78;106.75;;;;;
2019;WZ08-S;109.73;109.80;;;;;
______________;WZ08-S;;#BEZUG!;;;;;
