Year;Economic_Sector;Male_Gross_Monthly_Wages;Male_Gross_Hourly_Wages;Female_Gross_Monthly_Wages;Female_Gross_Hourly_Wages;EUR_Gross_Monthly_Wages;EUR_Gross_Hourly_Wages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;WZ08-B;3442.75;19.6275;3220.5;19.275;3429;19.6075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;WZ08-B;3560.25;20.185;3352.5;19.94;3547.75;20.1675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;WZ08-B;3691.75;20.8775;3465.5;20.6475;3677.25;20.8625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;WZ08-B;3743;21.1625;3503.25;20.8825;3726.25;21.1425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;WZ08-B;3975.75;22.5225;3750;22.315;3958;22.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;WZ08-B;3930;22.2075;3744.75;22.3675;3914;22.2175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;WZ08-B;4000.25;22.66;3879.75;23.11;3989.75;22.6975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;WZ08-B;3993.75;22.585;3839.5;22.865;3979.75;22.6125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;WZ08-B;4093.25;23.0225;3802.25;22.645;4069;22.9925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;WZ08-B;4100;23.205;3870.75;23.0175;4080.5;23.1925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;WZ08-B;4185.5;23.88;3867.25;22.9275;4156.5;23.795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;WZ08-B;4080;23.54;3767;22.7475;4050.25;23.4675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;WZ08-C;3309.5;20.785;2510.25;15.755;3156.5;19.8175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;WZ08-C;3480.75;21.2025;2621.5;16.1;3316;20.2325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;WZ08-C;3616.25;21.6675;2710.25;16.4925;3442.5;20.685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;WZ08-C;3732;22.355;2831;17.155;3564.75;21.4025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;WZ08-C;3825.25;22.905;2926.75;17.7325;3658.25;21.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;WZ08-C;3941;23.6175;3020.75;18.26;3766.25;22.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;WZ08-C;4051.5;24.2425;3140;19.02;3879.5;23.265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;WZ08-C;4125;24.7275;3222;19.52;3957;23.765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;WZ08-C;4208.25;25.1825;3313.25;20.035;4043.25;24.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;WZ08-C;4308.5;25.745;3417.5;20.6575;4145.5;24.8225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
